,start_anomaly,anomaly sample length,prob_anomaly,lat,lon
43,2021-03-17 00:00:00,40.0,0.95,25.928537,-80.311386
44,2021-10-07 00:00:00,19.0,0.95,25.928543,-80.31135
45,2021-04-10 00:00:00,39.0,0.95,25.928549,-80.31132
46,2022-07-10 00:00:00,11.0,0.95,25.928555,-80.31128
47,0,,0.0,25.92856,-80.31125
48,0,,0.0,25.928564,-80.31121
49,0,,0.0,25.92857,-80.31118
50,0,,0.0,25.928576,-80.31115
51,0,,0.0,25.928581,-80.31112
52,0,,0.0,25.928587,-80.31108
53,0,,0.0,25.92859,-80.31105
54,0,,0.0,25.928596,-80.31102
55,0,,0.0,25.928602,-80.31098
56,0,,0.0,25.928608,-80.31095
57,0,,0.0,25.928614,-80.31092
58,0,,0.0,25.92862,-80.31088
59,0,,0.0,25.928623,-80.31085
60,0,,0.0,25.928585,-80.31187
61,0,,0.0,25.928593,-80.31184
62,0,,0.0,25.928598,-80.3118
63,0,,0.0,25.928604,-80.31176
64,0,,0.0,25.92861,-80.31173
65,0,,0.0,25.928627,-80.311615
66,0,,0.0,25.928633,-80.311584
67,0,,0.0,25.928638,-80.31155
68,0,,0.0,25.928644,-80.31151
69,0,,0.0,25.92865,-80.31147
70,2021-12-06 00:00:00,20.0,0.95,25.928656,-80.31144
71,0,,0.0,25.928661,-80.3114
72,2022-04-05 00:00:00,17.0,0.95,25.928667,-80.31137
73,2021-09-25 00:00:00,17.0,0.95,25.928673,-80.31133
74,2022-08-15 00:00:00,8.0,0.95,25.928679,-80.3113
75,0,,0.0,25.928684,-80.31127
76,0,,0.0,25.92869,-80.31123
77,0,,0.0,25.928696,-80.3112
78,0,,0.0,25.9287,-80.31117
79,2022-08-27 00:00:00,7.0,0.95,25.928705,-80.311134
80,0,,0.0,25.92871,-80.311104
81,0,,0.0,25.928717,-80.31107
82,0,,0.0,25.928722,-80.311035
83,0,,0.0,25.928726,-80.311005
84,0,,0.0,25.928732,-80.310974
85,0,,0.0,25.928738,-80.31094
86,0,,0.0,25.928743,-80.310905
87,0,,0.0,25.928747,-80.310875
88,0,,0.0,25.928709,-80.3119
89,0,,0.0,25.928717,-80.31186
90,0,,0.0,25.928722,-80.31182
91,0,,0.0,25.928728,-80.31178
92,0,,0.0,25.928734,-80.31175
93,0,,0.0,25.92874,-80.311714
94,0,,0.0,25.928745,-80.311676
95,0,,0.0,25.928757,-80.31161
96,2021-12-06 00:00:00,25.0,0.95,25.928762,-80.31157
97,2022-08-15 00:00:00,8.0,0.95,25.928768,-80.31154
98,0,,0.0,25.928774,-80.3115
99,0,,0.0,25.92878,-80.31147
100,2022-07-22 00:00:00,10.0,0.95,25.928785,-80.31143
101,2022-06-16 00:00:00,13.0,0.95,25.928791,-80.3114
102,2021-08-08 00:00:00,23.0,0.95,25.928797,-80.31136
103,2021-11-12 00:00:00,23.0,0.95,25.928802,-80.31133
104,2022-12-01 00:00:00,1.0,0.95,25.928808,-80.311295
105,0,,0.0,25.928814,-80.31126
106,0,,0.0,25.92882,-80.311226
107,0,,0.0,25.928825,-80.31119
108,0,,0.0,25.928831,-80.31116
109,0,,0.0,25.92884,-80.31109
110,0,,0.0,25.928846,-80.31106
111,0,,0.0,25.928852,-80.31102
112,0,,0.0,25.928858,-80.31099
113,0,,0.0,25.928862,-80.31096
114,0,,0.0,25.928867,-80.31093
115,0,,0.0,25.928833,-80.31192
116,0,,0.0,25.928839,-80.31188
117,0,,0.0,25.928846,-80.311844
118,0,,0.0,25.928852,-80.31181
119,0,,0.0,25.928858,-80.311775
120,2022-01-23 00:00:00,10.0,0.95,25.928864,-80.31174
121,0,,0.0,25.92887,-80.31171
122,0,,0.0,25.928875,-80.31167
123,0,,0.0,25.92888,-80.31164
124,0,,0.0,25.928886,-80.3116
125,0,,0.0,25.92889,-80.31157
126,0,,0.0,25.928896,-80.31153
127,0,,0.0,25.928902,-80.3115
128,2022-11-19 00:00:00,2.0,0.95,25.928907,-80.31147
129,0,,0.0,25.928913,-80.31143
130,0,,0.0,25.928919,-80.3114
131,0,,0.0,25.928925,-80.31136
132,2018-09-05 00:00:00,41.0,0.95,25.92893,-80.311325
133,2022-08-27 00:00:00,7.0,0.95,25.928936,-80.31129
134,0,,0.0,25.928942,-80.31125
135,0,,0.0,25.92895,-80.31122
136,0,,0.0,25.928955,-80.31118
137,0,,0.0,25.92896,-80.31114
138,0,,0.0,25.928967,-80.31111
